Frame,X,Y,Time
9683,852,154,00:05:23.089433333333375
9693,634,304,00:05:23.423100000000034
9707,814,202,00:05:23.890233333333356
9723,514,306,00:05:24.42410000000001
9733,492,318,00:05:24.75776666666667
9747,468,298,00:05:25.224900000000048
9759,524,242,00:05:25.62529999999998
9770,814,202,00:05:25.992333333333306
9780,660,292,00:05:26.326000000000022
9798,764,196,00:05:26.926600000000008
9808,664,220,00:05:27.260266666666666
9818,574,266,00:05:27.593933333333325
9839,816,202,00:05:28.294633333333365
9849,756,318,00:05:28.628299999999967
9859,824,286,00:05:28.961966666666683
9869,864,248,00:05:29.295633333333342
9879,814,202,00:05:29.6293
9892,814,202,00:05:30.063066666666657
9903,786,174,00:05:30.43010000000004
9913,800,278,00:05:30.76376666666664
9924,758,300,00:05:31.130799999999965
9936,884,320,00:05:31.531200000000013
9946,746,296,00:05:31.86486666666667
9959,814,202,00:05:32.298633333333385
9969,746,242,00:05:32.63229999999999
9987,762,148,00:05:33.23290000000003
9997,818,236,00:05:33.56656666666663
10007,786,174,00:05:33.90023333333335
10020,814,202,00:05:34.334
10031,586,136,00:05:34.70103333333333
10043,542,186,00:05:35.101433333333375
10057,630,274,00:05:35.56856666666664
10071,814,202,00:05:36.03570000000002
10081,514,288,00:05:36.36936666666668
10091,504,264,00:05:36.70303333333334
10109,454,294,00:05:37.30363333333338
10120,814,202,00:05:37.670666666666705
10135,816,202,00:05:38.17116666666669
10150,780,156,00:05:38.67166666666668
10160,816,200,00:05:39.00533333333334
10170,786,174,00:05:39.339
10191,814,202,00:05:40.03970000000004
10244,786,174,00:05:41.80813333333339
10255,786,174,00:05:42.17516666666671
10265,788,174,00:05:42.508833333333314
10293,788,174,00:05:43.443100000000015
10307,704,144,00:05:43.91023333333334
10317,814,210,00:05:44.2439
10330,814,210,00:05:44.67766666666671
10340,818,208,00:05:45.01133333333331
10354,820,210,00:05:45.47846666666669
10364,512,208,00:05:45.81213333333335
10378,742,238,00:05:46.27926666666667
10390,820,210,00:05:46.67966666666666
10400,740,240,00:05:47.01333333333332
10415,818,208,00:05:47.51383333333331
10425,732,292,00:05:47.847500000000025
10435,790,180,00:05:48.181166666666684
10445,498,280,00:05:48.514833333333286
10456,816,208,00:05:48.881866666666724
10467,818,210,00:05:49.24890000000005
10477,510,256,00:05:49.58256666666665
10492,498,284,00:05:50.08306666666664
10510,818,208,00:05:50.68366666666668
10520,818,208,00:05:51.01733333333334
10531,790,178,00:05:51.38436666666672
10605,586,232,00:05:53.8535
10616,580,230,00:05:54.22053333333332
10626,818,200,00:05:54.55420000000004
10644,818,202,00:05:55.154799999999966
10654,818,202,00:05:55.48846666666668
10674,818,202,00:05:56.1558
10684,818,202,00:05:56.48946666666666
10694,486,276,00:05:56.823133333333374
10704,818,202,00:05:57.156799999999976
10716,454,194,00:05:57.55720000000002
10726,818,200,00:05:57.89086666666668
10736,488,300,00:05:58.22453333333334
10755,818,200,00:05:58.85849999999999
