Set,Rally,Frame,X,Y,Time,Getpoint_player,Lose_reason
3,7,9335,698,450,00:05:11.477833333333308,,
3,7,9358,640,446,00:05:12.24526666666668,,
3,7,9368,658,360,00:05:12.578933333333339,,
3,7,9378,702,274,00:05:12.912599999999998,,
3,7,9390,724,266,00:05:13.312999999999988,,
3,7,9409,814,316,00:05:13.946966666666697,A,0
3,8,9444,814,204,00:05:15.114800000000002,,
3,8,9454,666,196,00:05:15.448466666666661,,
3,8,9468,564,254,00:05:15.915599999999984,,
3,8,9482,816,202,00:05:16.382733333333363,,
3,8,9492,818,202,00:05:16.71640000000002,,
3,8,9502,818,202,00:05:17.050066666666623,,
3,8,9516,542,264,00:05:17.517200000000003,,
3,8,9538,816,202,00:05:18.251266666666652,,
3,8,9577,566,160,00:05:19.552566666666678,,
3,8,9588,816,202,00:05:19.919600000000003,,
3,8,9601,816,202,00:05:20.353366666666716,,
3,8,9611,814,202,00:05:20.687033333333318,,
3,8,9627,814,204,00:05:21.22090000000003,,
3,8,9640,814,204,00:05:21.654666666666685,,
3,8,9664,818,202,00:05:22.455466666666666,B,2
3,9,9680,546,428,00:05:22.98933333333332,,
3,9,9694,626,306,00:05:23.4564666666667,,
3,9,9707,814,204,00:05:23.890233333333356,,
3,9,9722,516,296,00:05:24.390733333333344,,
3,9,9736,494,296,00:05:24.857866666666723,,
3,9,9748,470,302,00:05:25.258266666666657,,
3,9,9758,502,290,00:05:25.591933333333373,,
3,9,9794,624,432,00:05:26.793133333333344,,
3,9,9811,818,202,00:05:27.36036666666672,,
3,9,9823,544,308,00:05:27.760766666666655,,
3,9,9838,820,202,00:05:28.261266666666643,,
3,9,9848,748,310,00:05:28.59493333333336,A,0
3,10,9858,820,202,00:05:28.928600000000017,,
3,10,9880,896,324,00:05:29.662666666666667,,
3,10,9897,818,204,00:05:30.229900000000043,,
3,10,9913,800,276,00:05:30.76376666666664,,
3,10,9931,872,258,00:05:31.364366666666683,,
3,10,9947,818,202,00:05:31.898233333333337,,
3,10,9964,818,202,00:05:32.46546666666666,,
3,10,9987,764,148,00:05:33.23290000000003,,
3,10,9997,818,238,00:05:33.56656666666663,A,0
3,11,10023,818,204,00:05:34.43410000000006,,
3,11,10035,818,204,00:05:34.83449999999999,,
3,11,10045,540,198,00:05:35.16816666666671,,
3,11,10072,818,204,00:05:36.06906666666663,,
3,11,10083,518,296,00:05:36.43610000000001,,
3,11,10093,818,204,00:05:36.76976666666667,,
3,11,10109,456,296,00:05:37.30363333333338,,
3,11,10153,786,232,00:05:38.77176666666668,,
3,11,10177,782,286,00:05:39.57256666666666,,
3,11,10190,818,204,00:05:40.006333333333316,,
3,11,10203,898,278,00:05:40.44010000000003,A,0
3,12,10267,814,204,00:05:42.575566666666646,,
3,12,10299,814,204,00:05:43.64330000000001,,
3,12,10317,512,216,00:05:44.2439,,
3,12,10327,818,210,00:05:44.577566666666655,,
3,12,10338,520,218,00:05:44.94460000000004,,
3,12,10353,522,220,00:05:45.445100000000025,,
3,12,10364,920,320,00:05:45.81213333333335,,
3,12,10379,628,250,00:05:46.31263333333334,,
3,12,10389,638,458,00:05:46.6463,,
3,12,10401,810,260,00:05:47.04669999999999,,
3,12,10417,710,156,00:05:47.58056666666664,,
3,12,10428,808,250,00:05:47.94760000000002,,
