hit_direct,hit_distance,hit_height,landing_direct,landing_distance,landing_height,x_direct,x_distance,y_direct,y_distance,velocity,type
3,2,2,3,1,2,3,2,3,2,4.978,netplay
2,4,1,2,2,2,3,2,3,3,32.257,cut
3,2,2,2,4,1,3,3,3,2,24.849,lob
3,4,1,3,2,2,3,3,3,3,110.255,smash
2,2,2,1,4,0,2,3,3,3,23.543,netplay
3,2,2,2,4,1,2,2,3,2,17.746,long
3,4,1,3,2,2,2,4,2,3,16.442,smash
2,1,2,2,4,1,2,2,2,1,16.218,lob
3,4,1,1,3,0,2,3,2,3,55.12,smash
2,2,2,3,1,2,2,3,3,2,24.005,netplay
2,1,2,3,4,1,2,3,3,2,24.763,lob
2,4,1,2,2,2,2,5,3,2,54.196,cut
3,2,2,3,1,2,2,3,2,2,14.404,netplay
2,1,2,2,1,2,2,2,2,2,10.328,netplay
3,1,2,2,4,1,2,2,2,1,17.405,lob
3,4,1,2,2,2,3,4,3,2,49.528,cut
3,2,2,3,1,2,3,3,2,2,17.801,netplay
2,1,2,3,1,2,2,2,3,2,13.32,netplay
2,1,2,3,3,1,3,3,3,1,22.136,lob
2,3,1,1,4,2,2,3,2,2,35.885,long
4,4,2,3,1,1,2,3,2,4,30.26,cut
2,1,1,2,3,0,2,2,2,3,70.883,rush
2,2,2,3,2,2,2,3,3,2,28.854,netplay
2,2,2,3,1,2,2,2,3,2,12.692,netplay
2,1,2,2,4,1,2,2,2,2,31.182,lob
3,4,1,3,2,2,2,3,2,3,67.668,smash
2,2,2,2,2,2,2,3,2,2,30.533,netplay
3,2,2,2,3,1,2,3,2,2,19.436,lob
3,3,1,2,3,2,3,4,3,3,68.456,smash
3,3,2,3,1,1,2,3,3,2,23.837,netplay
2,1,1,3,3,2,2,1,2,2,44.115,rush
2,3,2,2,2,1,2,1,2,2,29.163,lob
3,2,1,2,2,0,3,2,3,3,27.916,cut
3,2,2,2,1,2,3,3,2,2,20.816,netplay
3,1,2,3,1,2,2,2,2,1,10.088,netplay
2,1,2,3,4,1,2,2,2,2,21.373,lob
2,4,1,2,2,2,3,3,3,3,69.64,cut
3,2,2,2,1,2,3,3,3,3,19.521,netplay
3,1,2,3,3,1,2,3,2,1,19.702,lob
2,3,1,2,3,1,2,4,2,2,51.626,long
3,3,1,3,1,2,2,3,2,3,26.689,cut
2,1,2,3,1,2,2,2,2,2,14.799,netplay
2,1,2,3,3,1,2,2,3,1,19.008,lob
2,3,1,2,3,2,2,5,3,2,58.583,smash
3,3,2,3,1,2,2,3,2,3,19.43,netplay
2,1,2,3,5,0,2,2,3,2,18.286,lob
3,2,2,2,4,1,3,3,2,2,17.199,long
3,4,1,3,2,2,3,4,3,2,47.458,cut
2,2,2,3,2,1,3,3,3,2,35.789,lob
2,2,1,2,1,2,2,3,2,2,20.772,cut
3,1,2,3,1,2,2,3,2,1,9.195,netplay
2,1,2,3,1,1,3,2,3,2,8.204,netplay
2,1,1,2,2,2,3,3,3,1,42.915,rush
3,2,2,5,2,0,3,3,3,1,18.058,netplay
2,2,2,3,2,2,2,3,3,2,22.556,netplay
2,2,2,2,1,2,2,3,3,2,14.782,netplay
3,1,2,3,1,2,2,2,3,2,5.95,netplay
2,1,2,3,4,1,2,2,3,1,17.046,lob
2,4,1,2,3,2,2,5,3,2,62.307,smash
3,3,2,3,1,2,2,3,2,3,18.781,netplay
2,1,2,2,1,2,2,2,2,3,9.544,netplay
3,1,2,3,3,1,2,2,2,2,19.031,lob
2,3,1,0,2,2,2,4,2,2,87.656,smash
3,2,2,2,4,1,3,3,2,2,16.958,long
3,4,1,3,2,2,3,4,3,2,59.177,smash
2,2,2,2,1,2,3,3,3,2,22.579,netplay
3,1,2,3,1,2,3,2,3,2,6.877,netplay
2,1,2,3,3,1,3,2,3,1,21.415,lob
2,3,1,2,4,1,2,4,2,2,33.244,long
3,4,1,3,2,2,2,3,2,4,121.082,smash
2,2,2,2,2,2,2,3,2,4,21.116,netplay
3,2,2,2,3,1,2,3,2,2,27.905,lob
3,3,1,3,2,2,3,4,3,2,58.705,smash
2,2,2,2,1,2,3,3,3,2,25.943,netplay
3,1,2,3,3,1,3,2,3,2,46.629,lob
2,3,1,2,2,2,3,3,3,2,52.361,cut
3,2,2,2,2,2,3,3,3,2,25.074,netplay
3,2,2,3,1,2,2,3,2,2,12.094,netplay
2,1,2,2,1,2,2,2,2,2,5.411,netplay
3,1,2,2,4,1,2,2,2,1,22.324,lob
3,4,1,2,3,1,3,4,3,2,49.247,long
3,3,1,2,1,2,3,3,2,3,32.739,cut
3,1,2,4,1,0,3,2,3,2,7.353,netplay
3,2,2,3,4,1,2,3,3,2,15.791,long
2,4,1,3,3,2,2,4,2,3,74.982,smash
2,3,2,2,1,2,2,3,3,2,22.609,netplay
3,1,2,3,3,1,3,2,3,2,29.905,lob
2,3,1,3,2,2,3,3,3,3,58.156,smash
2,2,2,2,1,2,3,3,3,2,21.878,netplay
3,1,2,3,1,2,2,3,2,1,6.039,netplay
2,1,2,3,3,1,2,1,2,2,9.802,lob
2,3,1,3,3,0,3,3,3,3,68.047,smash
3,2,2,2,3,1,3,2,2,2,24.504,long
3,3,1,3,1,2,2,3,2,3,42.458,cut
2,1,2,2,1,2,2,3,2,2,12.079,netplay
3,1,2,3,3,1,2,3,2,1,22.695,lob
2,3,1,2,3,2,2,3,2,3,86.145,smash
3,3,2,3,1,2,2,3,2,3,20.594,netplay
2,1,2,2,4,1,2,2,2,2,24.082,lob
3,4,1,3,2,2,2,3,2,4,49.733,cut
2,2,2,2,3,1,2,3,2,2,45.58,lob
3,3,1,3,2,2,2,3,2,2,54.859,smash
2,2,2,2,2,1,2,3,2,2,52.292,lob
3,2,1,3,2,2,2,3,2,2,31.799,smash
3,2,2,3,4,1,2,3,3,2,17.891,long
2,4,1,2,2,2,2,4,2,2,59.041,smash
3,2,2,3,1,2,2,3,2,2,18.11,netplay
2,1,2,2,1,2,2,3,2,2,13.41,netplay
3,1,2,3,1,2,2,3,2,1,8.743,netplay
2,1,2,2,4,1,2,2,2,2,17.948,lob
3,4,1,3,2,2,2,3,2,4,56.571,smash
2,2,2,2,2,2,2,3,3,2,21.095,netplay
3,2,2,2,4,1,2,3,2,1,22.037,lob
3,4,1,2,2,2,3,4,3,3,70.539,smash
3,2,2,3,1,2,3,3,3,3,14.369,netplay
2,1,2,2,5,0,2,2,2,2,17.454,lob
3,2,2,2,4,1,3,3,2,2,15.943,long
3,4,1,2,2,2,3,5,3,2,63.122,smash
3,2,2,3,2,1,3,3,2,2,27.162,lob
2,2,1,2,2,0,2,2,2,2,81.635,smash
3,2,2,2,2,2,3,2,2,2,24.463,netplay
3,2,2,3,3,1,2,3,2,2,21.465,lob
2,3,1,2,2,2,2,3,2,2,55.811,cut
3,2,2,3,1,2,2,3,2,2,17.549,netplay
2,1,2,2,4,1,2,2,3,2,19.974,lob
3,4,1,2,1,2,2,3,2,3,35.219,cut
3,1,2,3,3,1,3,2,3,2,29.935,lob
2,3,1,2,1,2,3,3,3,2,23.578,cut
3,1,2,3,1,2,3,2,3,2,7.677,netplay
2,1,2,2,1,2,3,2,3,1,6.821,netplay
3,1,2,2,1,2,3,2,3,2,15.95,netplay
3,1,2,3,1,2,3,2,2,1,6.867,netplay
2,1,2,2,4,1,2,1,2,2,14.311,lob
3,4,1,3,3,2,2,3,2,3,72.866,smash
2,3,2,2,1,2,2,3,2,3,23.576,netplay
3,1,2,3,1,2,2,3,2,1,10.747,netplay
2,1,2,3,1,2,2,2,2,2,15.056,netplay
2,1,2,3,3,1,2,2,3,1,22.945,lob
2,3,1,3,4,1,2,4,3,2,23.2,long
2,4,1,2,2,2,3,3,3,3,89.63,smash
3,2,2,2,2,2,3,3,3,3,22.952,netplay
3,2,2,2,4,1,2,3,2,2,23.182,lob
3,4,1,2,2,2,3,3,3,2,29.163,cut
3,2,2,3,3,1,2,3,2,2,17.606,lob
3,2,2,3,4,1,2,3,3,2,16.89,long
2,4,1,2,3,2,2,4,2,3,74.808,smash
3,3,2,2,1,2,2,3,2,3,22.313,netplay
3,1,2,3,2,2,3,2,3,2,17.595,netplay
2,2,2,3,3,1,3,2,3,2,29.079,lob
2,3,1,2,4,1,2,4,2,2,30.753,long
3,4,1,3,2,2,2,3,2,4,58.48,smash
2,2,2,2,3,1,2,3,2,3,46.146,lob
3,3,1,3,2,2,2,3,2,2,72.33,smash
2,2,2,3,1,2,2,3,2,2,30.276,netplay
2,1,2,2,3,1,2,3,3,2,26.358,lob
3,3,1,2,4,0,3,4,3,2,44.717,drive
2,2,2,3,3,1,2,3,3,2,30.835,long
2,3,1,3,4,1,3,3,3,3,28.658,long
2,4,1,3,2,2,2,5,2,2,72.424,smash
2,2,2,2,1,2,2,3,3,2,17.151,netplay
3,1,2,3,1,2,3,2,3,2,7.753,netplay
2,1,2,3,3,1,3,2,3,1,23.885,lob
2,3,1,2,4,1,2,4,3,2,23.385,long
3,4,1,2,2,2,3,3,2,4,63.621,cut
3,2,2,2,2,2,3,2,3,3,20.037,netplay
3,2,2,3,3,1,2,3,2,2,30.023,lob
2,3,1,2,2,2,2,3,2,2,23.403,cut
3,2,2,3,3,1,2,3,2,2,17.39,lob
2,3,1,2,3,2,2,4,2,2,87.686,smash
3,3,2,3,1,1,2,3,2,3,10.29,netplay
3,2,2,2,2,2,3,2,3,2,21.239,netplay
3,2,2,2,3,1,3,3,2,2,27.125,lob
3,3,1,2,1,2,3,4,3,2,30.082,cut
3,1,2,3,1,2,2,3,2,1,7.253,netplay
2,1,2,3,3,1,2,2,2,2,12.105,lob
2,3,1,3,1,2,3,3,3,3,28.746,cut
2,1,2,2,1,2,2,2,3,2,7.811,netplay
3,1,2,3,1,2,2,3,2,1,5.211,netplay
2,1,2,3,1,1,2,1,2,2,14.591,netplay
2,1,1,3,3,0,2,2,3,1,26.371,rush
3,2,2,2,4,1,3,3,2,2,17,long
3,4,1,3,1,2,3,4,3,2,35.822,cut
2,1,2,3,3,1,3,3,3,2,29.286,lob
2,3,1,2,2,1,2,3,2,2,18.652,drive
3,1,2,3,1,2,2,3,2,2,8.051,netplay
2,1,2,4,4,0,2,2,2,2,18.038,lob
