frame,top_x,top_y,bot_x,bot_y
8792,215,273,234,1039
8793,210,322,219,1035
8794,216,304,209,1057
8795,212,304,205,1065
8796,216,273,204,1072
8797,229,279,209,1091
8798,240,279,207,1083
8799,251,223,202,1094
8800,264,223,196,1061
8801,268,216,195,1065
8802,272,164,187,1069
8803,275,158,162,1172
8804,282,191,161,1176
8805,282,191,162,1179
8806,275,184,150,1091
8807,274,171,146,1061
8808,292,197,141,1046
8809,292,171,139,1069
8810,301,151,128,1042
8811,306,84,124,1080
8812,303,77,116,1061
8813,314,145,118,1083
8814,324,91,123,1119
8815,324,145,130,1179
8816,322,84,129,1203
8817,322,91,136,1255
8818,320,131,127,1236
8819,323,131,130,1252
8820,317,171,135,1239
8821,333,158,134,1236
8822,322,111,141,1186
8823,340,184,149,1172
8824,345,145,160,1162
8825,356,104,172,1123
8826,362,145,188,1112
8827,366,184,207,1165
8828,366,158,221,1116
8829,369,138,240,1087
8830,381,118,244,1094
8831,416,49,256,1080
8832,416,42,252,1094
8833,436,-14,244,1039
8834,406,-21,256,1061
8835,456,-133,252,1042
8836,472,-180,255,1054
8837,477,-141,259,1027
8838,487,-110,261,1016
8839,499,-88,270,1027
8840,506,-73,269,1035
8841,509,-80,273,1054
8842,493,-88,269,1023
8843,500,14,272,1027
8844,485,-43,281,1023
8845,485,7,292,1039
8846,497,-36,306,1008
8847,504,-14,328,1008
8848,498,-73,348,992
8849,497,-73,369,948
8850,503,-43,381,1004
8851,496,-103,387,1016
8852,499,-88,389,984
8853,499,-88,390,1004
8854,490,-103,390,976
8855,430,-36,390,969
8856,475,-80,401,952
8857,434,-14,404,936
8858,464,-65,487,861
8859,455,-7,418,948
8860,441,14,423,944
8861,443,42,427,948
8862,435,70,431,920
8863,436,91,423,976
8864,437,125,433,928
8865,438,91,434,920
8866,437,84,436,928
8867,425,125,436,920
8868,435,125,434,924
8869,425,118,429,887
8870,416,111,425,887
8871,402,84,416,891
8872,380,42,411,891
8873,349,28,408,887
8874,333,118,400,891
8875,329,97,397,924
8876,323,138,396,895
8877,323,91,392,895
8878,316,49,399,928
8879,318,49,396,887
8880,222,42,391,912
8881,327,-1079,387,891
8882,261,-21,381,899
8883,230,-21,370,907
8884,214,-14,351,891
8885,199,-65,331,912
8886,178,-21,309,936
8887,171,-36,300,940
8888,166,70,278,948
8889,214,42,262,948
8890,144,14,251,948
8891,148,138,247,984
8892,139,49,244,1016
8893,120,35,236,996
8894,116,7,238,1012
8895,115,7,238,1004
8896,121,28,237,1008
8897,125,42,237,1012
8898,137,56,237,992
8899,131,21,235,996
8900,122,-21,234,992
8901,130,14,235,984
8902,137,0,236,984
8903,136,-103,235,952
8904,164,56,232,940
8905,166,-14,234,932
8906,184,42,244,899
8907,185,28,241,891
8908,201,21,250,920
8909,207,14,256,912
8910,210,21,269,956
8911,207,-7,271,928
8912,211,35,287,936
8913,216,35,295,899
8914,216,42,304,907
8915,216,56,304,916
8916,215,14,272,916
8917,210,63,304,932
8918,221,118,302,920
8919,222,118,304,907
8920,219,70,302,895
8921,231,-789,309,895
8922,227,35,311,912
8923,230,49,307,912
8924,221,0,313,920
8925,231,28,311,920
8926,247,28,310,903
8927,245,-14,313,924
8928,282,118,316,928
8929,272,70,317,899
8930,297,49,322,887
8931,304,77,329,887
8932,280,111,344,903
8933,277,104,352,920
8934,344,118,363,891
8935,275,49,365,992
9231,333,223,185,992
9232,330,229,184,996
9233,332,223,183,984
9234,398,-14,185,1000
9235,333,216,183,976
9236,332,216,187,992
9237,331,229,183,992
9238,333,223,182,952
9239,330,223,183,984
9240,333,216,179,1008
9241,331,229,179,1023
9242,332,223,179,1031
9243,336,216,170,1042
9244,328,216,169,1042
9245,332,178,164,1050
9246,331,229,154,1080
9247,332,235,154,1102
9248,332,216,152,1105
9249,333,229,150,1094
9250,324,145,153,1091
9251,320,197,158,1098
9252,320,229,167,1130
9253,329,145,168,1130
9254,324,178,173,1137
9255,333,164,177,1151
9256,331,111,175,1137
9257,329,138,184,1137
9258,323,125,190,1172
9259,318,151,190,1182
9260,318,151,193,1182
9261,316,91,196,1210
9262,322,111,198,1229
9263,306,125,198,1229
9264,306,125,198,1229
9265,319,104,198,1229
9266,304,104,191,1265
9267,314,97,200,1233
9268,306,70,199,1213
9269,318,104,231,1210
9270,309,138,239,1223
9271,313,104,204,1219
9272,313,131,201,1172
9273,314,131,201,1172
9274,312,118,201,1172
9275,314,118,217,1176
9276,314,138,219,1193
9277,308,145,218,1172
9278,314,131,221,1193
9279,308,28,218,1189
9280,309,77,239,1236
9281,319,118,215,1165
9282,324,84,238,1193
9283,333,131,210,1176
9284,334,118,203,1158
9285,337,70,204,1179
9286,345,118,207,1210
9287,347,151,209,1226
9288,343,131,214,1242
9289,338,118,211,1236
9290,348,138,212,1246
9291,241,131,212,1223
9292,347,164,214,1199
9293,347,104,215,1196
9294,334,145,223,1151
9295,322,84,223,1119
9296,322,97,221,1123
9297,301,14,220,1094
9298,312,111,217,1102
9299,294,104,223,1080
9300,290,145,218,1076
9301,285,164,211,1072
9302,281,158,205,1069
9303,280,145,208,1054
9304,288,145,273,1012
9305,280,104,207,1069
9306,278,104,216,1054
9307,287,104,225,1027
9308,277,97,244,1019
9309,280,125,266,984
9310,279,70,288,969
9311,276,84,301,969
9312,278,63,313,969
9313,278,118,319,1019
9314,288,118,317,1023
9315,278,104,324,1000
9316,288,158,320,1016
